neotoma_names,taxon_name
Aeschynomene baumii-type,aeschynomene_baumii_type
Aesculus,aesculus
Aesculus-type,aesculus_type
Aesculus hippocastanum,aesculus_hippocastanum
Aetanthus,aetanthus
Aethusa,aethusa
Aethusa-type,aethusa_type
Aethusa cynapium,aethusa_cynapium
Aethusa cynapium-type,aethusa_cynapium_type
Aextoxicon punctatum,aextoxicon_punctatum
aff. Astronium,aff_astronium
aff. Casuarina,aff_casuarina
aff. Colubrina,aff_colubrina
aff. Dalechampia,aff_dalechampia
aff. Fissicalyx,aff_fissicalyx
aff. Gaylussacia,aff_gaylussacia
aff. Malvaceae,aff_malvaceae
aff. Melanoxylon,aff_melanoxylon
aff. Posoqueria,aff_posoqueria
aff. Trichilia,aff_trichilia
aff. Triumfetta,aff_triumfetta
aff. Viola,aff_viola
Afraegle,afraegle
Afraegle-type (A. paniculata),afraegle_type_a_paniculata
Afraegle paniculata,afraegle_paniculata
Afrocayratia ibuensis,afrocayratia_ibuensis
Afrosersalisia,afrosersalisia
Afzelia,afzelia
Afzelia africana-type,afzelia_africana_type
Afzelia cf. A. africana,afzelia_cf_a_africana
Agarista,agarista
Agastache,agastache
Agastache-type,agastache_type
Agastachys,agastachys
Agastachys odorata,agastachys_odorata
Agathis,agathis
Agathis australis,agathis_australis
Agathis robusta,agathis_robusta
Agave,agave
Agavoideae,agavoideae
Aglaia comp.,aglaia_comp
Agoseris,agoseris
Agoseris-type,agoseris_type
Agoseris glauca-type,agoseris_glauca_type
Agrimonia,agrimonia
Agrimonia-type,agrimonia_type
Agrimonia eupatoria,agrimonia_eupatoria
Agrimonia eupatoria-type,agrimonia_eupatoria_type
Agropyron-type,agropyron_type
Agrostemma,agrostemma
Agrostemma-type,agrostemma_type
Agrostemma githago,agrostemma_githago
Agrostis,agrostis
Aidia,aidia
Aidia-type,aidia_type
Aidia-type (A. micrantha),aidia_type_a_micrantha
Aidia-type micrantha,aidia_type_micrantha
Aidia micrantha-type,aidia_micrantha_type
Ailanthus,ailanthus
Ailanthus altissima,ailanthus_altissima
Aizoaceae,aizoaceae
Aizoaceae-type,aizoaceae_type
Aizoaceae (large),aizoaceae_large
Aizoaceae (small),aizoaceae_small
Aizoaceae undiff.,aizoaceae_undiff
Ajuga,ajuga
Alafia-type,alafia_type
Alangium,alangium
Alangium chinense,alangium_chinense
Albizia,albizia
Albizia-type,albizia_type
Alchemilla,alchemilla
Alchemilla-type,alchemilla_type
Alchemilla arvensis,alchemilla_arvensis
Alchemilla cf. A. glabra,alchemilla_cf_a_glabra
Alchemilla group,alchemilla_group
Alchemilla pentaphyllea,alchemilla_pentaphyllea
Alchemilla pentaphyllea-type,alchemilla_pentaphyllea_type
Alchemilla/Aphanes,alchemilla_aphanes
Alchornea,alchornea
Alchornea-type,alchornea_type
Alchornea (type 1),alchornea_type_1
Alchornea (type 2),alchornea_type_2
Alchornea (type 3),alchornea_type_3
Alchornea (type 4),alchornea_type_4
Alchornea (type A),alchornea_type_a
Alchornea (type B),alchornea_type_b
Alchornea cordifolia,alchornea_cordifolia
Alchornea cordifolia-type,alchornea_cordifolia_type
Alchornea latifolia,alchornea_latifolia
Alchornea undiff.,alchornea_undiff
Alchornea/Conceveibum,alchornea_conceveibum
Alchorneopsis,alchorneopsis
Alchorneopsis floribunda,alchorneopsis_floribunda
Aldina,aldina
Alectryon,alectryon
Aleurites,aleurites
Alfaroa,alfaroa
Alhagi,alhagi
Alibertia,alibertia
Alibertia-type,alibertia_type
Alibertia/Amaioua,alibertia_amaioua
Alisma,alisma
Alisma-type,alisma_type
Alisma-type plantago-aquatica,alisma_type_plantago_minus_aquatica
Alisma gramineum-type,alisma_gramineum_type
Alisma group,alisma_group
Alisma plantago-aquatica,alisma_plantago_minus_aquatica
Alisma plantago-aquatica-type,alisma_plantago_minus_aquatica_type
Alisma plantago-aquatica group,alisma_plantago_minus_aquatica_group
Alismataceae,alismataceae
Alismataceae undiff.,alismataceae_undiff
Alkanna,alkanna
Allenrolfea occidentalis,allenrolfea_occidentalis
Allionia,allionia
Allium,allium
Allium-type,allium_type
Allium cf. A. sibiricum,allium_cf_a_sibiricum
Allium ursinum-type,allium_ursinum_type
Allium vineale-type,allium_vineale_type
Allocasuarina,allocasuarina
Allocasuarina/Casuarina,allocasuarina_casuarina
Allophylus,allophylus
Allophylus-type,allophylus_type
Allophylus abyssinicus-type,allophylus_abyssinicus_type
Allophylus africanus,allophylus_africanus
Allophylus africanus-type,allophylus_africanus_type
Allophylus/Protea,allophylus_protea
Allophylus/Protea/Faurea,allophylus_protea_faurea
Alnus,alnus
Alnus (corroded),alnus_corroded
Alnus (excluding A. viridis),alnus_excluding_a_viridis
Alnus (hexaporate),alnus_hexaporate
Alnus (pentaporate),alnus_pentaporate
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores
Alnus (tetraporate),alnus_tetraporate
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores
Alnus (triporate),alnus_triporate
Alnus acuminata,alnus_acuminata
Alnus cf. A. glutinosa,alnus_cf_a_glutinosa
Alnus cf. A. incana,alnus_cf_a_incana
Alnus cf. A. suaveolens,alnus_cf_a_suaveolens
Alnus cf. A. viridis,alnus_cf_a_viridis
Alnus cf. A. viridis subsp. crispa,alnus_cf_a_viridis_subsp_crispa
Alnus glutinosa,alnus_glutinosa
Alnus glutinosa-type,alnus_glutinosa_type
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana
Alnus hirsuta,alnus_hirsuta
Alnus hirsuta-type,alnus_hirsuta_type
Alnus incana,alnus_incana
Alnus incana-type,alnus_incana_type
Alnus rhombifolia-type,alnus_rhombifolia_type
Alnus rubra,alnus_rubra
Alnus rubra-type,alnus_rubra_type
Alnus serrulata-type,alnus_serrulata_type
Alnus sp.,alnus_sp
Alnus suaveolens,alnus_suaveolens
Alnus subg. Alnobetula,alnus_subg_alnobetula
Alnus undiff.,alnus_undiff
Alnus viridis,alnus_viridis
Alnus viridis-type,alnus_viridis_type
Alnus viridis subsp. crispa,alnus_viridis_subsp_crispa
Alnus viridis subsp. crispa-type,alnus_viridis_subsp_crispa_type
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa
Alnus viridis subsp. fruticosa-type,alnus_viridis_subsp_fruticosa_type
Alnus viridis subsp. sinuata,alnus_viridis_subsp_sinuata
Alnus viridis subsp. sinuata-type,alnus_viridis_subsp_sinuata_type
Alnus viridis subsp. suaveolens,alnus_viridis_subsp_suaveolens
Aloe,aloe
Aloe-type,aloe_type
Alopecurus magellanicus,alopecurus_magellanicus
Aloysia,aloysia
Alphitonia,alphitonia
Alseis,alseis
Alseis sp.,alseis_sp
Alstonia,alstonia
Alstonia-type,alstonia_type
Alstonia-type (A. boonei),alstonia_type_a_boonei
Alstonia-type boonei,alstonia_type_boonei
Alstonia boonei,alstonia_boonei
Alstroemeria,alstroemeria
Alternanthera,alternanthera
Alternanthera-type,alternanthera_type
Alternanthera (type 1),alternanthera_type_1
Alternanthera (type II),alternanthera_type_ii
Alternanthera comp.,alternanthera_comp
Althaea officinalis,althaea_officinalis
Altingia excelsa comp.,altingia_excelsa_comp
Alysicarpus,alysicarpus
Amaioua,amaioua
Amanoa,amanoa
Amanoa-type,amanoa_type
Amaranthaceae,amaranthaceae
Amaranthaceae-type,amaranthaceae_type
Amaranthaceae (<20 µm),amaranthaceae_smaller_than_20_mu_m
Amaranthaceae (>20 µm),amaranthaceae_bigger_than_20_mu_m
Amaranthaceae (12 µm),amaranthaceae_12_mu_m
Amaranthaceae (broken),amaranthaceae_broken
Amaranthaceae (crumpled),amaranthaceae_crumpled
Amaranthaceae (degraded),amaranthaceae_degraded
Amaranthaceae (small),amaranthaceae_small
Amaranthaceae (type A),amaranthaceae_type_a
Amaranthaceae (type B),amaranthaceae_type_b
Amaranthaceae (type I),amaranthaceae_type_i
Amaranthaceae (type II),amaranthaceae_type_ii
Amaranthaceae sensu lato,amaranthaceae_sensu_lato
Amaranthaceae sensu stricto,amaranthaceae_sensu_stricto
Amaranthaceae sp.,amaranthaceae_sp
Amaranthaceae undiff.,amaranthaceae_undiff
Amaranthus,amaranthus
Amaranthus-type,amaranthus_type
Amaranthus (type 1),amaranthus_type_1
Amaranthus undiff.,amaranthus_undiff
Amaryllidaceae,amaryllidaceae
Amaryllis,amaryllis
Ambrosia,ambrosia
Ambrosia-type,ambrosia_type
Ambrosia-type (circular),ambrosia_type_circular
Ambrosia-type maritima,ambrosia_type_maritima
Ambrosia artemisiifolia,ambrosia_artemisiifolia
Ambrosia maritima,ambrosia_maritima
Ambrosia/Iva,ambrosia_iva
Ambrosia/Iva annua,ambrosia_iva_annua
Ambrosia/Xanthium,ambrosia_xanthium
Ambrosiinae,ambrosiinae
Amelanchier,amelanchier
Amelanchier-type,amelanchier_type
Ammannia-type,ammannia_type
Ammannia-type (A. prieuriana),ammannia_type_a_prieuriana
Ammi,ammi
Ammi-type,ammi_type
Ammi cf. A. visnaga,ammi_cf_a_visnaga
Ammi majus,ammi_majus
Amorpha,amorpha
Amorpha-type,amorpha_type
Amorpha canescens,amorpha_canescens
Amorpha cf. A. canescens,amorpha_cf_a_canescens
Amorpha fruticosa,amorpha_fruticosa
Amperea,amperea
Amperea xiphoclada,amperea_xiphoclada
Amsinckia,amsinckia
Amyema,amyema
Amygdaloideae,amygdaloideae
Amyris,amyris
Anacardiaceae,anacardiaceae
Anacardiaceae-type undiff.,anacardiaceae_type_undiff
Anacardiaceae (20 µm),anacardiaceae_20_mu_m
Anacardiaceae (type 16),anacardiaceae_type_16
Anacardiaceae (type 19),anacardiaceae_type_19
Anacardiaceae (type 20),anacardiaceae_type_20
Anacardiaceae (type 25),anacardiaceae_type_25
Anacardiaceae (type 30),anacardiaceae_type_30
Anacardiaceae (type 35),anacardiaceae_type_35
Anacardiaceae (type I),anacardiaceae_type_i
Anacardiaceae (type II),anacardiaceae_type_ii
Anacardiaceae (type III),anacardiaceae_type_iii
Anacardiaceae cf. Loxopterygium,anacardiaceae_cf_loxopterygium
Anacardiaceae cf. Schinus,anacardiaceae_cf_schinus
Anacardiaceae cf. Spondias,anacardiaceae_cf_spondias
Anacardiaceae undiff.,anacardiaceae_undiff
Anacardium,anacardium
Anacardium-type,anacardium_type
Anacolosa uncifera,anacolosa_uncifera
Anadenanthera,anadenanthera
"Anadenanthera (polyad, type 16)",anadenanthera_polyad_type_16
"Anadenanthera (polyad, type 8)",anadenanthera_polyad_type_8
Anagallis,anagallis
Anagallis-type,anagallis_type
Anagallis arvensis,anagallis_arvensis
Anagallis arvensis-type,anagallis_arvensis_type
Anagallis cf. A. arvensis,anagallis_cf_a_arvensis
Anagallis cf. A. tenella,anagallis_cf_a_tenella
Anagallis tenella,anagallis_tenella
Anagallis tenella-type,anagallis_tenella_type
Anarrhinum,anarrhinum
Anarrhinum bellidifolium,anarrhinum_bellidifolium
Anchusa,anchusa
Anchusa-type,anchusa_type
Anchusa azurea,anchusa_azurea
Anchusa azurea-type,anchusa_azurea_type
Anchusa/Pulmonaria,anchusa_pulmonaria
Andira,andira
Andira-type,andira_type
Andrachne,andrachne
Andradea,andradea
Andromeda,andromeda
Andromeda-type,andromeda_type
Andromeda polifolia,andromeda_polifolia
Andromeda polifolia var. latifolia,andromeda_polifolia_var_latifolia
Andropogon,andropogon
Androsace,androsace
Androsace-type,androsace_type
Androsace alpina-type,androsace_alpina_type
Androsace chamaejasme,androsace_chamaejasme
Androsace elongata-type,androsace_elongata_type
Androstachys,androstachys
Anemone,anemone
Anemone-type,anemone_type
Anemone alpina,anemone_alpina
Anemone canadensis-type,anemone_canadensis_type
Anemone coronaria,anemone_coronaria
Anemone coronaria-type,anemone_coronaria_type
Anemone hepatica,anemone_hepatica
Anemone hepatica-type,anemone_hepatica_type
Anemone hortensis-type,anemone_hortensis_type
Anemone montana,anemone_montana
Anemone nemorosa,anemone_nemorosa
Anemone nemorosa-type,anemone_nemorosa_type
Anemone nemorosa group,anemone_nemorosa_group
Anemone nemorosa/A. ranunculoides,anemone_nemorosa_a_ranunculoides
Anemone patens,anemone_patens
Anemone pulsatilla,anemone_pulsatilla
Anemone pulsatilla-type,anemone_pulsatilla_type
Anemone pulsatilla group,anemone_pulsatilla_group
Anemone quinquefolia-type,anemone_quinquefolia_type
Anemone sect. Hepatica,anemone_sect_hepatica
Anemone sect. Hepatica-type,anemone_sect_hepatica_type
Anemone sect. Pulsatilla,anemone_sect_pulsatilla
Anemone sect. Pulsatilla-type,anemone_sect_pulsatilla_type
Anemone subg. Anemone,anemone_subg_anemone
Anemone subg. Anemone-type,anemone_subg_anemone_type
Anemopaegma,anemopaegma
Anemopaegma-type,anemopaegma_type
Anethum-type,anethum_type
Anethum graveolens,anethum_graveolens
Angelica,angelica
Angelica-type,angelica_type
Angelica archangelica,angelica_archangelica
Angelica archangelica-type,angelica_archangelica_type
Angelica palustris,angelica_palustris
Angelica palustris-type,angelica_palustris_type
Angelica sylvestris,angelica_sylvestris
Angelica sylvestris-type,angelica_sylvestris_type
Angelica sylvestris group,angelica_sylvestris_group
Angelium,angelium
Angelonia,angelonia
"Angiospermae (di- or tricolporate, striate, 25-30 µm)",angiospermae_di_minus_or_tricolporate_striate_25_minus_30_mu_m
"Angiospermae (dicolporate, reticulate, with operculum)",angiospermae_dicolporate_reticulate_with_operculum
"Angiospermae (dicolporate, scabrate, 31)",angiospermae_dicolporate_scabrate_31
"Angiospermae (periporate, Mauritius type 162, de Boer)",angiospermae_periporate_mauritius_type_162_de_boer
"Angiospermae (periporate, Mauritius type 179, de Boer)",angiospermae_periporate_mauritius_type_179_de_boer
Angiospermae undiff.,angiospermae_undiff
Angiospermae undiff. (hardwood trees),angiospermae_undiff_hardwood_trees
Angiospermae undiff. (herbs),angiospermae_undiff_herbs
Angiospermae undiff. (upland herbs),angiospermae_undiff_upland_herbs
Angophora-type,angophora_type
Angophora costata,angophora_costata
Angophora/Corymbia,angophora_corymbia
Aningeria-type,aningeria_type
Aniseia,aniseia
Aniseia-type,aniseia_type
Aniseia-type martinicensis,aniseia_type_martinicensis
Anisosciadium-type,anisosciadium_type
Anisotes,anisotes
Anisotes-type,anisotes_type
Annona,annona
Annona-type,annona_type
Annona (type A),annona_type_a
Annona (type B),annona_type_b
Annona senegalensis,annona_senegalensis
Annona senegalensis-type,annona_senegalensis_type
Annona sp.,annona_sp
Annonaceae,annonaceae
Annonaceae cf. Annona,annonaceae_cf_annona
Annonaceae undiff.,annonaceae_undiff
Anodopetalum,anodopetalum
Anogeissus,anogeissus
Anogeissus-type,anogeissus_type
Anogeissus-type (A. leiocarpa),anogeissus_type_a_leiocarpa
Anomospermum,anomospermum
Anopterus,anopterus
Anopterus glandulosus,anopterus_glandulosus
Anopyxis,anopyxis
Anopyxis-type,anopyxis_type
Anopyxis-type klaineana,anopyxis_type_klaineana
Anopyxis klaineana,anopyxis_klaineana
Antennaria,antennaria
Antennaria-type,antennaria_type
Anthemideae,anthemideae
Anthemis,anthemis
Anthemis-type,anthemis_type
Anthemis-type (small),anthemis_type_small
Anthemis arvensis-type,anthemis_arvensis_type
Anthemis/Aster/Cirsium/Serratula,anthemis_aster_cirsium_serratula
Anthericum,anthericum
Anthericum-type,anthericum_type
Anthericum liliago,anthericum_liliago
Anthocleista,anthocleista
Anthocleista grandiflora,anthocleista_grandiflora
Anthocleista vogelii-type,anthocleista_vogelii_type
Anthocleista/Randia,anthocleista_randia
Anthodiscus,anthodiscus
Anthodon,anthodon
Anthonotha-type,anthonotha_type
Anthospermum,anthospermum
Anthospermum-type,anthospermum_type
Anthospermum asperuloides-type,anthospermum_asperuloides_type
Anthospermum hispidulum-type,anthospermum_hispidulum_type
Anthostema,anthostema
Anthostema-type,anthostema_type
Anthostema-type (A. senegalense),anthostema_type_a_senegalense
Anthostema senegalense,anthostema_senegalense
Anthoxanthum,anthoxanthum
Anthriscus,anthriscus
Anthriscus-type,anthriscus_type
Anthriscus caucalis,anthriscus_caucalis
Anthriscus caucalis-type,anthriscus_caucalis_type
Anthriscus cerefolium,anthriscus_cerefolium
Anthriscus nitida/A. sylvestris,anthriscus_nitida_a_sylvestris
Anthriscus sylvestris,anthriscus_sylvestris
Anthriscus sylvestris-type,anthriscus_sylvestris_type
Anthurium,anthurium
Anthurium (type 1),anthurium_type_1
Anthurium (type 2),anthurium_type_2
Anthurium brownii-type,anthurium_brownii_type
Anthurium cf. A. pentaphyllum,anthurium_cf_a_pentaphyllum
Anthurium schlechtendalii ssp. schlectendalii-type,anthurium_schlechtendalii_ssp_schlectendalii_type
Anthyllis,anthyllis
Anthyllis-type,anthyllis_type
Anthyllis montana-type,anthyllis_montana_type
Anthyllis rupestris,anthyllis_rupestris
Anthyllis vulneraria,anthyllis_vulneraria
Anthyllis/Lychnis,anthyllis_lychnis
Antiaris,antiaris
Antiaris-type,antiaris_type
Antiaris-type (A. toxicaria),antiaris_type_a_toxicaria
Anticharis,anticharis
Antidaphne,antidaphne
Antidaphne-type,antidaphne_type
Antidesma,antidesma
Antidesma-type,antidesma_type
Antidesma-type (A. rufescens),antidesma_type_a_rufescens
Antidesma-type (A. venosum),antidesma_type_a_venosum
Antidesma venosum,antidesma_venosum
Antigonon,antigonon
Antirhea,antirhea
Antirhea/Potamogeton-type,antirhea_potamogeton_type
Antirrhinum/Linaria,antirrhinum_linaria
Antrocaryon,antrocaryon
Antrocaryon-type,antrocaryon_type
Apeiba,apeiba
Apeiba-type,apeiba_type
Apeiba tibourbou,apeiba_tibourbou
Aphanamixis-type,aphanamixis_type
Aphananthe,aphananthe
Aphanes,aphanes
Aphanes-type,aphanes_type
Aphanes arvensis,aphanes_arvensis
Aphanes arvensis-type,aphanes_arvensis_type
Aphelandra,aphelandra
Aphloia-type theiformis,aphloia_type_theiformis
Aphloia theiformis,aphloia_theiformis
Apiaceae,apiaceae
Apiaceae-type,apiaceae_type
Apiaceae (>35 µm),apiaceae_bigger_than_35_mu_m
Apiaceae (apiculate),apiaceae_apiculate
Apiaceae (coarse reticulate),apiaceae_coarse_reticulate
Apiaceae (large),apiaceae_large
Apiaceae (medium),apiaceae_medium
"Apiaceae (medium, slender)",apiaceae_medium_slender
Apiaceae (small),apiaceae_small
Apiaceae (type 1),apiaceae_type_1
Apiaceae (type 2),apiaceae_type_2
"Apiaceae (type 555, Kuhry 1988)",apiaceae_type_555_kuhry_1988
Apiaceae (type I),apiaceae_type_i
Apiaceae (type II),apiaceae_type_ii
Apiaceae (type III),apiaceae_type_iii
Apiaceae (type P18),apiaceae_type_p18
Apiaceae cf. Anethum,apiaceae_cf_anethum
Apiaceae cf. Apium,apiaceae_cf_apium
Apiaceae cf. Daucus,apiaceae_cf_daucus
Apiaceae cf. Dichosciadium,apiaceae_cf_dichosciadium
Apiaceae cf. Pleurospermum,apiaceae_cf_pleurospermum
Apiaceae cf. Sium suave,apiaceae_cf_sium_suave
Apiaceae indet.,apiaceae_indet
Apiaceae undiff.,apiaceae_undiff
Apium,apium
Apium-type,apium_type
Apium graveolens,apium_graveolens
Apium inundatum-type,apium_inundatum_type
Apium nodiflorum,apium_nodiflorum
Apium prostratum,apium_prostratum
Apocynaceae,apocynaceae
Apocynaceae-type (tetraporate),apocynaceae_type_tetraporate
Apocynaceae-type undiff.,apocynaceae_type_undiff
Apocynaceae (triporate),apocynaceae_triporate
Apocynaceae (type A),apocynaceae_type_a
Apocynaceae (type B),apocynaceae_type_b
Apocynaceae (type C),apocynaceae_type_c
Apocynaceae aff. Secondatia,apocynaceae_aff_secondatia
Apocynaceae undiff.,apocynaceae_undiff
Apocynum,apocynum
Apodasmia,apodasmia
Apodytes,apodytes
Apodytes dimidiata,apodytes_dimidiata
Aponogeton,aponogeton
Apoplanesia,apoplanesia
Aporosa,aporosa
Aporrhiza,aporrhiza
Aporrhiza-type,aporrhiza_type
Apuleia,apuleia
Apuleia-type,apuleia_type
Apuleia leiocarpa,apuleia_leiocarpa
Aquifoliaceae,aquifoliaceae
Aquifoliaceae undiff.,aquifoliaceae_undiff
Aquilapollenites,aquilapollenites
Aquilegia,aquilegia
Aquilegia-type,aquilegia_type
Aquilegia undiff.,aquilegia_undiff
Arabis,arabis
Araceae,araceae
Araceae-type,araceae_type
Araceae (sulcate),araceae_sulcate
Araceae (type I),araceae_type_i
Araceae (type II),araceae_type_ii
Araceae cf. Anthurium-type,araceae_cf_anthurium_type
Araceae cf. Calla,araceae_cf_calla
Araceae undiff.,araceae_undiff
Aragoa,aragoa
Aralia,aralia
Aralia hispida,aralia_hispida
Araliaceae,araliaceae
Araliaceae-type,araliaceae_type
Araliaceae (type 1),araliaceae_type_1
