depositionalenvironment,dep_env_level_1,dep_env_level_2,dep_env_level_3,dep_env_level_4,include
Playa,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Pond,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Poor Fen,Fen,Mire,Palustrine,Palustrine,TRUE
Procavia Midden,Animal Midden,Biological,Biological,Biological,FALSE
Proglacial Lake,Glacial Origin Lake,Natural Lake,Lacustrine,Lacustrine,TRUE
Proglacial Lake,Glacial,Terrestrial,Terrestrial,Terrestrial,TRUE
Quarry,Artificial Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Raised Bog,Bog,Mire,Palustrine,Palustrine,TRUE
Reservoir,Artificial Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Rich Fen,Fen,Mire,Palustrine,Palustrine,TRUE
River Channel,Fluvial,Riverine,Riverine,Riverine,FALSE
River Terrace,Fluvial,Riverine,Riverine,Riverine,FALSE
Riverine,Riverine,Riverine,Riverine,Riverine,FALSE
Rock Shelter,Cave,Terrestrial,Terrestrial,Terrestrial,TRUE
Salt Marsh,Estuarine,Estuarine,Estuarine,Estuarine,FALSE
Small Hollow,Pond,Natural Lake,Lacustrine,Lacustrine,TRUE
Small Hollow Fen,Fen,Mire,Palustrine,Palustrine,TRUE
Soil,Terrestrial,Terrestrial,Terrestrial,Terrestrial,TRUE
Soligenous Mire,Fen,Mire,Palustrine,Palustrine,TRUE
Solution Origin Lake,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Spring,Spring,Spring,Spring,Spring,FALSE
Spring Mound,Spring,Spring,Spring,Spring,FALSE
Spring Pond,Spring,Spring,Spring,Spring,FALSE
Stream,Fluvial,Riverine,Riverine,Riverine,FALSE
Stream-cut Exposure,Riverine,Riverine,Riverine,Riverine,FALSE
Swamp,Palustrine,Palustrine,Palustrine,Palustrine,TRUE
Tectonic Origin Lake,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,TRUE
Thaw Slump,Slump,Gravity,Terrestrial,Terrestrial,TRUE
Thermokarst Lake,Periglacial Origin Lake,Natural Lake,Lacustrine,Lacustrine,TRUE
Tidal Freshwater Forested Wetland,Palustrine,Palustrine,Palustrine,Palustrine,TRUE
Tidal Oligohaline Marsh,Palustrine,Palustrine,Palustrine,Palustrine,TRUE
Unknown,Unknown,Unknown,Unknown,Unknown,FALSE
Valley Glacier Lake,Glacial Origin Lake,Natural Lake,Lacustrine,Lacustrine,TRUE
Valley Mire,Fen,Mire,Palustrine,Palustrine,TRUE
Volcanic,Terrestrial,Terrestrial,Terrestrial,Terrestrial,TRUE
Volcanic Origin Lake,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
Wind Origin Lake,Natural Lake,Lacustrine,Lacustrine,Lacustrine,TRUE
NA,NA,NA,NA,NA,FALSE
